
6:18:10 :	:, Bulk WhatsApp is not enabled for :master
6:19:9 :	:, RunGenerateExpenseScheduler: no data found: master
6:19:10 :	:, EscalationScheduler:RunScheduler : Started for master
6:19:11 :	:, EscalationScheduler:SendEscalation : Error Object reference not set to an instance of an object.
6:19:11 :	:, EscalationScheduler:SendEscalation : Error Object reference not set to an instance of an object.
6:19:11 :	:, EscalationScheduler:SendEscalation : Error Object reference not set to an instance of an object.
6:19:11 :	:, EscalationScheduler:RunScheduler : Completed for master
6:19:38 :	:, WhatsAppReportScheduler:RunScheduler : Started for master
6:21:54 :	:, RunGenerateExpenseScheduler: no data found: master
6:21:55 :	:, EscalationScheduler:RunScheduler : Started for master
6:21:55 :	:, EscalationScheduler:SendEscalation : Error Object reference not set to an instance of an object.
6:21:55 :	:, EscalationScheduler:SendEscalation : Error Object reference not set to an instance of an object.
6:21:55 :	:, EscalationScheduler:SendEscalation : Error Object reference not set to an instance of an object.
6:21:55 :	:, EscalationScheduler:RunScheduler : Completed for master
6:27:14 :	:, RunGenerateExpenseScheduler: no data found: master
6:27:15 :	:, EscalationScheduler:RunScheduler : Started for master
6:27:15 :	:, EscalationScheduler:SendEscalation : Error Object reference not set to an instance of an object.
6:27:15 :	:, EscalationScheduler:SendEscalation : Error Object reference not set to an instance of an object.
6:27:15 :	:, EscalationScheduler:SendEscalation : Error Object reference not set to an instance of an object.
6:27:15 :	:, EscalationScheduler:RunScheduler : Completed for master
6:27:19 :	:, ScheduleReminderScheduler: started for master
6:27:20 :	:, ScheduleReminderScheduler: reminder email for schedulereminderconfig start :Owner Daily Summary Report - WhatsApp
6:27:20 :	:, ScheduleReminderScheduler failed for schedulereminderconfigid: 14; Column 'emailtemplate_emailtemplate' does not belong to table .
6:27:33 :	:, ScheduleReminderScheduler: reminder email for schedulereminderconfig start :Owner Daily Summary Report - WhatsApp
6:28:30 :	:, RunGenerateExpenseScheduler: no data found: master
6:28:30 :	:, EscalationScheduler:RunScheduler : Started for master
6:28:30 :	:, EscalationScheduler:SendEscalation : Error Object reference not set to an instance of an object.
6:28:30 :	:, EscalationScheduler:SendEscalation : Error Object reference not set to an instance of an object.
6:28:30 :	:, EscalationScheduler:SendEscalation : Error Object reference not set to an instance of an object.
6:28:30 :	:, EscalationScheduler:RunScheduler : Completed for master
6:28:38 :	:, ScheduleReminderScheduler: started for master
6:28:43 :	:, ScheduleReminderScheduler: reminder email for schedulereminderconfig start :Owner Daily Summary Report - WhatsApp
6:33:2 :	:, RunGenerateExpenseScheduler: no data found: master
6:33:2 :	:, EscalationScheduler:RunScheduler : Started for master
6:33:3 :	:, EscalationScheduler:SendEscalation : Error Object reference not set to an instance of an object.
6:33:3 :	:, EscalationScheduler:SendEscalation : Error Object reference not set to an instance of an object.
6:33:3 :	:, EscalationScheduler:SendEscalation : Error Object reference not set to an instance of an object.
6:33:3 :	:, EscalationScheduler:RunScheduler : Completed for master
6:33:4 :	:, ScheduleReminderScheduler: started for master
6:33:4 :	:, ScheduleReminderScheduler: reminder email for schedulereminderconfig start :Owner Daily Summary Report - WhatsApp
6:33:4 :	:, ScheduleReminderScheduler failed for schedulereminderconfigid: 14; Column 'scheduleremindercompanyconfig_isrunsevening' does not belong to table .
6:33:4 :	:, ScheduleReminderScheduler: completed for master
6:33:25 :	:, RunGenerateExpenseScheduler: no data found: uptimepowersystems
6:33:58 :	:, RunGenerateExpenseScheduler: no data found: master
6:33:58 :	:, EscalationScheduler:RunScheduler : Started for master
6:33:58 :	:, EscalationScheduler:SendEscalation : Error Object reference not set to an instance of an object.
6:33:58 :	:, EscalationScheduler:SendEscalation : Error Object reference not set to an instance of an object.
6:33:58 :	:, EscalationScheduler:SendEscalation : Error Object reference not set to an instance of an object.
6:33:58 :	:, EscalationScheduler:RunScheduler : Completed for master
6:34:5 :	:, ScheduleReminderScheduler: started for master
6:34:13 :	:, ScheduleReminderScheduler: reminder email for schedulereminderconfig start :Owner Daily Summary Report - WhatsApp
6:35:6 :	:, RunGenerateExpenseScheduler: no data found: master
